城市,老龄人口数,设施总数,原始压力值(raw),适老化服务压力指数
包头市,546752,330,1651.818731,35.88042418
双鸭山市,339771,205,1649.373786,35.82493149
焦作市,613036,373,1639.13369,35.59161623
雅安市,319000,194,1635.897436,35.51757686
北海市,329700,202,1624.137931,35.24730376
咸宁市,467577,287,1623.53125,35.23330718
吴忠市,310045,190,1623.272251,35.2273303
云浮市,475300,292,1622.1843,35.20221337
黄石市,417991,257,1620.120155,35.15451327
湖州市,718700,444,1615.05618,35.03723268
鹤岗市,272800,168,1614.201183,35.01739489
榆林市,504909,312,1613.127796,34.99247507
湘潭市,477653,296,1608.259259,34.87923846
六盘水市,480200,298,1606.020067,34.82704233
肇庆市,717300,446,1604.697987,34.79619015
马鞍山市,469353,292,1601.887372,34.73051692
张家界市,298015,186,1593.663102,34.53768386
朝阳区,567931,356,1590.843137,34.4713356
银川市,575236,361,1589.049724,34.42907891
武清区,321589,203,1576.416667,34.13005955
万州区,398721,252,1575.972332,34.11949878
儋州市,235900,149,1572.666667,34.04083751
潮州市,516400,328,1569.604863,33.96783161
吐鲁番市,120034,77,1538.897436,33.22766824
静海区,196327,128,1521.914729,32.81195719
徐汇区,287413,190,1504.780105,32.38780251
海淀区,521409,346,1502.619597,32.33397842
呼伦贝尔市,496572,330,1500.217523,32.27404541
丽水市,532500,354,1500,32.26861337
防城港市,227400,151,1496.052632,32.16990153
东营市,447258,301,1480.986755,31.79074161
綦江区,254518,171,1479.755814,31.75959262
通化市,325013,219,1477.331818,31.69817759
龙岩市,543005,369,1467.581081,31.4501087
丰都县,168732,114,1467.234783,31.44126825
石嘴山市,219984,150,1456.847682,31.17512824
安顺市,399800,274,1453.818182,31.09714863
阳江市,519900,357,1452.234637,31.05632339
盘锦市,306427,211,1445.410377,30.87987729
汕尾市,409900,283,1443.309859,30.82539931
忠县,192476,133,1436.38806,30.64531662
昌都市,89987,62,1428.365079,30.4354965
景德镇市,315947,221,1423.184685,30.29939013
哈密市,159986,112,1415.80531,30.10465181
许昌市,586711,414,1413.761446,30.0505358
韶关市,517191,368,1401.601626,29.72695139
黔西南布依族苗族自治州,443600,316,1399.369085,29.66723666
山南市,60013,42,1395.651163,29.56758018
河源市,480200,344,1391.884058,29.46633445
海口市,457700,329,1386.969697,29.33384237
深圳市,1177105,849,1384.829412,29.27599318
鄂州市,238771,172,1380.179191,29.14999506
开州区,312587,226,1377.035242,29.06456893
朔州市,290325,210,1375.947867,29.03497784
池州市,295811,214,1375.865116,29.03272495
白山市,250532,183,1361.586957,28.64196232
西双版纳傣族自治州,214000,157,1354.43038,28.44455889
虹口区,197542,145,1353.027397,28.40573756
漯河市,379934,280,1352.078292,28.37945245
河北区,200679,148,1346.838926,28.23401758
七台河市,179919,133,1342.679104,28.11814562
丽江市,239700,178,1339.106145,28.018334
兴安盟,255192,190,1336.08377,27.9336951
三门峡市,391730,293,1332.414966,27.83069611
萍乡市,390110,292,1331.433447,27.80309264
厦门市,493675,370,1330.660377,27.7813371
南开区,241382,182,1319.027322,27.45242886
潼南区,189215,143,1313.993056,27.30919248
北碚区,189624,144,1307.751724,27.13084907
奉节县,213569,163,1302.25,26.97293292
鹤壁市,289911,222,1300.049327,26.90958021
杨浦区,276391,212,1297.610329,26.83924127
云阳县,247831,190,1297.544503,26.83734107
三明市,460027,354,1295.850704,26.78841291
攀枝花市,240900,185,1295.16129,26.76847976
铜陵市,297625,230,1288.419913,26.57300442
黄山市,320666,248,1287.815261,26.55542179
滨海新区,427963,332,1285.174174,26.47852504
静安区,213857,167,1272.958333,26.12078728
三亚市,225800,177,1268.539326,25.99053228
九龙坡区,278965,220,1262.285068,25.80540426
西宁市,429408,340,1259.260997,25.71556183
黄浦区,198726,157,1257.759494,25.67087339
河东区,228651,183,1242.668478,25.21874403
大足区,231709,187,1232.494681,24.91082858
蓟州区,247105,200,1229.378109,24.81599555
酉阳土家族苗族自治县,142378,115,1227.396552,24.75557445
河西区,214769,177,1206.567416,24.11449545
涪陵区,247153,204,1205.62439,24.08520998
石柱土家族自治县,124583,103,1197.913462,23.84488631
长寿区,175773,146,1195.734694,23.77670135
鄂尔多斯市,348459,291,1193.35274,23.70201544
阿勒泰地区,114200,95,1189.583333,23.58352123
沙坪坝区,256814,215,1188.953704,23.56369177
铜川市,159949,134,1184.807407,23.43284634
阳泉市,274776,231,1184.37931,23.41931075
新余市,248122,213,1159.448598,22.62249951
大兴安岭地区,132689,114,1153.817391,22.44015108
梁平区,178426,155,1143.75641,22.11213411
荣昌区,167348,147,1130.72973,21.68311755
巴南区,241583,215,1118.439815,21.27381396
西城区,264102,236,1114.35443,21.13675847
锡林郭勒盟,197779,178,1104.910615,20.81800838
塔城地区,161800,146,1100.680272,20.67434105
长宁区,165209,150,1094.099338,20.44974457
德宏傣族景颇族自治州,188000,171,1093.023256,20.41289132
崇明区,243185,223,1085.647321,20.15930302
鹰潭市,240077,222,1076.578475,19.8451418
铜梁区,176432,163,1075.804878,19.81822072
甘孜藏族自治州,125870,117,1066.694915,19.4997322
宁河区,124582,116,1064.803419,19.43326401
红桥区,145218,136,1059.985401,19.26342193
东城区,187528,176,1059.480226,19.24556911
垫江县,159824,152,1044.601307,18.7159008
丰台区,372458,358,1037.487465,18.45998903
闵行区,342175,329,1036.893939,18.4385585
南岸区,214378,206,1035.642512,18.39333281
昌吉回族自治州,250900,243,1028.278689,18.12609861
淮北市,324306,317,1019.830189,17.81713616
怒江傈僳族自治州,87000,85,1011.627907,17.51472183
珠海市,357197,361,986.7320442,16.58159211
秀山土家族苗族自治县,117692,119,980.7666667,16.35450936
璧山区,158729,163,967.8597561,15.8584255
青浦区,211573,218,966.086758,15.78976363
屯昌县,44119,45,959.1086957,15.51830007
图木舒克市,28719,29,957.3,15.44761542
宝山区,298564,314,947.8222222,15.07502461
阿坝藏族羌族自治州,117849,124,942.792,14.87576162
津南区,139653,149,931.02,14.4052534
渝中区,132689,142,927.8951049,14.279358
彭水苗族土家族自治县,108741,117,921.5338983,14.02176461
双河市,16308,17,906,13.38518753
巫山县,118742,132,892.7969925,12.83549926
南川区,142836,161,881.7037037,12.36733188
巴音郭楞蒙古自治州,211500,242,870.3703704,11.88291827
奉贤区,198721,228,867.7772926,11.77119842
北辰区,161207,188,852.9470899,11.12577818
五指山市,29652,34,847.2,10.87264264
巫溪县,89627,105,845.5377358,10.79910694
嘉定区,231508,276,835.7689531,10.36401338
澄迈县,86861,103,835.2019231,10.33860259
松江区,206419,249,825.676,9.909113615
金昌市,91109,110,820.8018018,9.687435962
万宁市,98745,120,816.0743802,9.471174086
甘南藏族自治州,86764,106,810.8785047,9.23203407
东方市,76203,93,810.6702128,9.222415564
定安县,55920,68,810.4347826,9.211540895
黔江区,112476,141,792.084507,8.354074416
琼海市,101311,127,791.4921875,8.326067235
房山区,246892,313,786.2802548,8.07872037
克拉玛依市,109978,139,785.5571429,8.044273778
白沙黎族自治县,32107,40,783.097561,7.926870158
济源市,143906,186,769.5508021,7.273566958
乌海市,91495,118,768.8655462,7.240215466
东丽区,142896,185,768.2580645,7.210624422
门头沟区,92714,120,766.231405,7.1117345
金山区,159682,208,764.0287081,7.003958243
临高县,72538,94,763.5578947,6.980881457
五家渠市,35694,46,759.4468085,6.77877182
乐东黎族自治县,82415,109,749.2272727,6.271585439
果洛藏族自治州,23500,31,734.375,5.522027174
通州区,228197,313,726.7420382,5.130899516
拉萨市,110194,153,715.5454545,4.549678716
密云区,143209,202,705.4630542,4.01847112
林芝市,49976,70,703.8873239,3.934766819
文昌市,93876,134,695.3777778,3.479472744
城口县,52143,75,686.0921053,2.976261029
西青区,158742,233,678.3846154,2.553382243
玉树藏族自治州,44700,65,677.2727273,2.49198179
武隆区,87619,130,668.8473282,2.02341864
石景山区,121056,182,661.5081967,1.61043818
石河子市,89621,136,654.1678832,1.192789602
黄南藏族自治州,22100,57,381.0344828,1
怀柔区,87621,238,366.6150628,1
平谷区,112587,228,491.6462882,1
延庆区,98643,163,601.4817073,1
海西蒙古族藏族自治州,66900,179,371.6666667,1
海南藏族自治州,49800,82,600,1
昌江黎族自治县,38962,59,649.3666667,1
昌平区,210783,335,627.3303571,1
琼中黎族苗族自治县,27217,41,648.0238095,1
大兴区,189254,326,578.7584098,1
博尔塔拉蒙古自治州,79600,147,537.8378378,1
神农架林区,14902,42,346.5581395,1
大渡口区,91247,151,600.3092105,1
嘉峪关市,55423,105,522.8584906,1
舟山市,288100,487,590.3688525,1
北屯市,9572,28,330.0689655,1
保亭黎族苗族自治县,28541,48,582.4693878,1
铁门关市,12863,45,279.6304348,1
迪庆藏族自治州,61000,99,610,1
阿拉善盟,37702,97,384.7142857,1
陵水黎族自治县,51789,108,475.1284404,1
阿里地区,8332,33,245.0588235,1
阿拉尔市,41256,65,625.0909091,1
顺义区,195346,314,620.1460317,1
